,Trig_date,District,Chiefdom,Section,Name_of_community,t_q1,t_q2,t_q3,t_q4,t_q5,t_q6,t_q7,t_q8,t_q9,t_q10,t_q11
2160,2014-12-10,Moyamba,Fakunya,Gardorhun,Gandorhun,,1.0,1.0,youth leader,Very High,the Ebola by-laws are so many.,when will the disease come to an end?,"washing dead body,visiting  burial homes.",there should be no accommodation for strangers,everyone is wishing for the sick to come to an end very soon.,they only need support to carry out the action plan
2161,2014-12-10,Moyamba,Fakunya,Todem Balenga,Gbahana Togbie,,1.0,1.0,youth leader,Medium,Ebola has no boundary,what has the government done to contain the virous?,"overcrouding,body contact,washing dead body,touching the body of an infected person.",no stranger is allowed to sleep in the community without the knowledge of the stake holders in the community,the only way they  can help this situation  is to encourage everyone  to come onboard to fight against this deadly virous from the community.,they will find it very difficult to impliment the by-laws without the corporation of the community members
2162,2014-12-10,Moyamba,Fakunya,Kunyafoi,Gbengbebu,,1.0,1.0,community,Medium,they are not willing to accormodate any body without proper identification.,when will this Epidemic finally come to an end?,"by allowing strangers to come to their community,by washing dead bodies.",no one is allowed to move out of the community for a long period of time washing of dead body is not allowed visiting funeral homes is prohibited,the government should  do all it could to contain the disease.,they need the support of stake holders of the community.
2163,2014-12-10,Moyamba,Fakunya,Songo,Gbonibu,,1.0,1.0,youth leader,Medium,they were initially referring to the disease as witch craft,what brought Ebola in the country?,if u contact some one with ebola.,avoid body contact take sick people to health centre no stranger is allowed,early treatment will save life,they are welling observe the rules and regulations.
2164,2014-12-10,Moyamba,Fakunya,Tullu,Gbowobu,,1.0,1.0,community youth,High,when will this ebola outbreak come to an end?,"Are we to avoid eating all bush meat after ebola?, ","Eating monkeys, touching and washing dead bodies, accepting strangers",avoid eating bush meat restriction of strangers into the community avoid touching dead bodies all burials should be done by the medical team,Isolation of sick people into the community,
2165,2014-12-10,Moyamba,Fakunya,Tangla,Gori,,1.0,1.0,youth leader,High,Ebola has  caused a lot of distructions in the country,is it true that it is realy Ebola that is killing people?,"visiting burial homes,washing  dead bodies,keeping sick persons at home.",secrete burial is a serious crime and who soever is found wanting will face the full force of the law,the town chief always encourage them to take their sick relatives to the health center for treatment.,they will find it very difficult to impliment the by-laws without the corporation of the community members
2166,2014-12-10,Moyamba,Fakunya,Mosoe,Limba Coner,,1.0,1.0,community member,Medium,when will school  reopen?,there should be a monthly salary for those who survive from the Ebola virous.,"visiting burial homes,washing dead bodies,keeping sick persons at home.",washing of dead body is not allowed visitors are not allowed in the community,the community people are eager to know when will Ebola come to an end?,if given the necessary support needed from the community members.
2167,2014-12-10,Moyamba,Fakunya,Maninga,Modahagoi,,1.0,1.0,youth leader,High,when ebola will end in sierra leone,"if there is no vaccing to cure Ebola,then how can an ebola patient survive from the virous.",women are the key risk for catching ebola,avoid body contact sick people must be referred to health centre,the restriction of their movement by the government have seised them from undertaking their nomal business activities.,
2168,2014-12-10,Moyamba,Fakunya,Lungiii,Mojaka,,1.0,1.0,youth leader,Very High,the Ebola disease is very easy to spread from one person to another ,did the government have solution to solve this Ebola poblem in sierra?,"visiting burial homes,washing dead bodies,keeping sick persons at home.",no body is allowed to visit burial home they should stop washing dead bodies they should not accommodate strangers avoid eating bush meat monkeys,they should maintain the law and also work towards it implimentation,they need the support of the the government
2169,2014-12-10,Moyamba,Fakunya,Njawa,Monjumbie,,1.0,1.0,immam,Medium,the Ebola disease has stopped their daily activities,they want to know if they are allowed to eat meats like Goat and sheep ?,"washing of dead bodies,body contact, coming in to a close with an infected person.","washing of dead bodies is not allowed in this community a one ole 500, 000 will be levy against any one who found breaking the law",what will be the packages for ebola survivors,"the community is willing to see that the action plans are been implimented,but the obsticle is that the community is too small and the community membrs are very small in number. "
2170,2014-12-10,Moyamba,Fakunya,Mende Gelema,Motimi,,1.0,1.0,ordinary citizen,High,Government should stop given money on ebola issue.,where does ebola comesfrom?when schools will re-open,"hand shaking,conducting burial practices,washing of dead bodies,taking care of sick people.",isolate sick people no secret society practices in the community,the government should train them in the community to do their own burials.,
2171,2014-12-10,Moyamba,Fakunya,Kovella,Ngelejekenega,,1.0,1.0,ordinary citizen,Medium,when ebola will end in sierra leone,what will be the help of SMAC to them in the community,"report all sick people to authority,aviod keeping of strangers,aviod going to burial homes.",no one should keep sick person at home strangers should not be allowed in the community,,
2172,2014-12-10,Moyamba,Fakunya,Fakoi,Ngeya,,1.0,1.0,Teacher,High,after the Ebola Epidemic are we allowed to eat bush meat?,how will the community members benefit from SMAC?,"taking care of sick people, accomondating strangers",no stranger is allowed in the community,no safe drinking water and school facilities.,
2173,2014-12-10,Moyamba,Fakunya,Kpanguglo,Pelewahun,,1.0,1.0,member,Medium,when school will re-open?,only washing hans can end ebola?,eating of bush meat,no one is allowed to move out of the community for a long period of time washing of dead body is not allowed visiting funeral homes is prohibited,the town chief always encourage them to take their sick relatives to the health center for treatment.,
2174,2014-12-10,Moyamba,Kongbora,Tongea,Makaifina,,1.0,1.0,Youth leader,High,The Ebola virous has lasted more than it was expected.,will Ebola be contained before the end of january?,"accepting strngers, attending funerals,keeping  sick persons at home.",strangers are not allowed to stay in the village without the knowledge of the village authorities a fine is levied against any one breaking the law,the community need safe drinking water and health center.,their farming activities especially during this harvest seson.
2175,2014-12-10,Moyamba,Kongbora,Mokorawo,Palawahun,,1.0,1.0,ordinary citizen,High,the movement of business men and women in to the community has greatly been affected by the outbreak.,When will Ebola end?,"having body contact,having sexual intercourse with an effected person , eating bush meat, and accomondating  strangers will lead to the spread of the virous",dead body should not be washed visitors are not allowed into the community,we should all come together to fight this virous inyhe country.,"no obstacles,because the community is well informed by the stakeholders in the community."
2176,2014-12-10,Moyamba,Kori,Manjehun,Banda Vanday,,1.0,1.0,youth,High,the community people  are not happy with the manner in which the burrial team handle corps.,the community people are eager to know when the outbreak will finally come to an end in the country.,"visiting burial homes,washing dead bodies,keeping sick persons at home",no one is allowed to move out of the community for a long period of time washing of dead body is not allowed visiting funeral homes is prohibited,what is the community going to  benefit from this  SMAC project,there is no veronica bucket  in the village to promote regular hand washing
2177,2014-12-10,Moyamba,Kori,Mowonga,Faama Gbako,,1.0,1.0,youth leader,High,there is no provition of veronica bucket and chlorine for hand washing.,is Ebola a man made disease?,"visiting burial homes,washing dead bodies,keeping sick persons at home.",no visitors from other communities are allowed to stay in the village,they need veronica bucket and chlorine  for hand washing,they need support to carry out the activties
2178,2014-12-10,Moyamba,Kori,Mokabba,Gola,,1.0,1.0,section youth chairman,High,government should allow people provide for the dead bodies.,"government is pouring money on ebola ,by this do we think ebola will end?","body contact,washing of dead bodies,visiting fineral homes.",hunting of bush animals is not allowed no visitor is allowed in the community,the government should provide veronica bucket  and hand sanitizer to help them wash their hand.,the obsticles include lack of financial support
2179,2014-12-10,Moyamba,Kori,Vaama,Kangahun,,1.0,1.0,sectretary,Medium,the manner in which the  burial team bury people is not respectful,the government should train volunteers from the community how to burry their loved ones.,by taking care of an Ebola infected person. Eating bush meat.,not to accept strangers from affected communities,"the government should train people in the community how burry the dead, ratherthan giving it to people from different comunities who often do not take proper care of the dead",the only obstacle is the fact that the  mobilizers did not bring any material for them to start implimenting some of the by-laws.
2180,2014-12-10,Moyamba,Kori,Taiama,Largo,,1.0,1.0,youth,Very High,when ebola will end because there are getting pregrant,they raised concern about the feeding of the quarratined homes in the community.,"body contact,accepting strangers from other communities.washing dead bodies.",no stranger is allowed to sleep in the village all sick persons should be reported to the nearest health centre, government should  supply  food  to the quarratined homes.,"the community is willing to observe the by-laws set by the community ,if they are given the support needed."
2181,2014-12-10,Moyamba,Kori,Forbgo,Momenga,,1.0,1.0,youth leader,Low,The Ebola out break has caused a lot of problems in our society.,when is this epidemic going to end in sierra leone?,"visiting burial homes,washing  dead bodies,keeping sick persons at home.",visiting burial homes washing dead bodies keeping sick persons at home are not allowed the community,the community want to know when school will reopen?,"the main obstacle is that, authorities should put more effort on the awareness raising campain,as are  there still people who don‰Ûªt believ that Ebola is real."
2182,2014-12-10,Moyamba,Kori,Vaama,Morondoh,,1.0,1.0,town chief,Medium,"the burial team should come early to collect dead boddies on time,there is also shotage in food supply, especially in the quarratined homes","they want to know how monkey,bat,and chipanzeesgot ebola","the virous can be contracted throuh body contact,washing  of dead bodies",washing of dead bodies is serious crime in the village keeping strangers at home without the knowledge of the stake holders in the community is also a very serious crime,when will the country affairsgoback to nomal,"if the are given the necessary support,they can observe all the by-laws that are been set by the community."
2183,2014-12-10,Moyamba,Kori,Bai Largo,Salina Gbaya,,1.0,1.0,teacher,High,"government should provide medication for quarantine homes,when ever a patient is taken to treatment center","burial team washing their P.P.Es and vechicle in our streams,that we drink wont we have ebola?","washing dead bodies ,treating sick person secretly,accepting strangers.",we don allow strangers washing dead bodies we don attend funeral homes,the polices and soldiiers that are put in charge of quanrantine homes are not always there so the people go out from qurantine homes.,
2184,2014-12-10,Moyamba,Kori,Yando,Vaama Up Njeila,,1.0,1.0,member,Very High,what is has the government done to help us understand the precautionary measures that will prevent us from cotracting the virous.,is Ebola a man made disease?,"visiting burial homes,washing dead bodies,keeping sick persons at home.",washing of dead body is not allowed visitors are not allowed in the community,they agreed to fine whosoever breaks the law,they need the corporation of everybody in thecommunity in the fight against Ebola.
2185,2014-12-10,Moyamba,Timadale,Sahun,Momaseray,,0.0,1.0,Youth Leader,High,"Concern about school reopening,",What wil the government do for the children who have lost their parents during ebola ?,"Touchin sick people, washing dead bodies",no keeping of strangers no washing of dead bodies no eating of bush meat call 117 for any sick or dead people,Ebola is causing high rate of teenage pregnancy n the community ,No net work in the community to get champion for update of information 
2186,2014-12-10,Moyamba,Timadale,Kaball,Kaball,,1.0,1.0,Assistance Imam,High,The disease is created by the white to destroyed the africans,When will ebola ead?,,no hand shaking regular hand washing,Let the work on the development of vaccine to cure ebola ,Farming activities
2187,2014-12-10,Moyamba,Timadale,Mando,Hobakie,,1.0,1.0,Ordinary Citizen,High,"No public transport , and por road network ",If some is sick of ebola will he/she be allowed again into the community,,"no keeping of strangers no washing of dead bodies no eating of bush meat the fine is 10, 000 if any one is is at fault",,The biush animals are eating our crops and plantation without catching them
2188,2014-12-10,Moyamba,Timadale,Gbehan,Machan,,1.0,1.0,Religeoue leader,Very Low,The virus has stop their children from going to school,After the six month will the virus come to an end?,Touching a sick person or ebola infected person,"no movement from one community to the other if any body receive stranger the person is liable to pay a ,000, 00, 0000,",Isolating sick people from othe in the community,
2189,2014-12-10,Moyamba,Timadale,Kambotoke,Manya,,1.0,1.0,Youth Leader,High,Ebola has stop their activities and business is flowing the way it use to be ,"Where is the ebola virus coming from?, Is ebola virus numerious or single in an infected person?","Body contact,  ",no strangers and quarantined people are allowed into the community,The PHU's are not taking care of sick people for the fear of ebola,No behaviour practice
2190,2014-12-10,Moyamba,Timadale,Yapoma,Mobongisse,,0.0,1.0,Younth Leder,Medium,The community inhabitants are concerns mo+BF510:BF527re about the school reopening and when will ebola end in sierra leone,Are we to eat bush meat again after ebola?,Washing dead budies,strangers re not allowed into the community if by any reason they should report to the section chief,,
2191,2014-12-10,Moyamba,Timadale,Bembelor ,Mojanbay,,1.0,1.0,,Medium,"The major concerns raiserd by the community people is that, ebola created by humans beings",How long will the virus continue to exist in this country?,Touching and washing dead bodies,no visiting of funeral homes no eating of bush meat isolation of sick people,The community lacks buckets soap and  water for public hand washing,Fishing activities
2192,2014-12-10,Tonkolili,Gbonkolenken,Matamp ,Mafunk,,1.0,1.0,,High,Government should build more treatment center,women should be included in the burial team,"taking care of the sick,washing the dead",no one is allowed to leave the community without any reason,,
2193,2014-12-10,Tonkolili,Gbonkolenken,Yele Manowa,Maganoko,,1.0,1.0,,High,The should put the community people in the burial team.,can someone get Ebola through sex,"body contact,washing the dead,visiting quarantine homes","house to house checking mounting of checking ,No strangers are allowed",the government must add to the numbr in the burial team.,
2194,2014-12-10,Tonkolili,Gbonkolenken,Mayepoh,Mapankle,,1.0,1.0,Head Man,Very High,The government should provide treatment centers in every village.,When should we get back our freedom,"through by hand shaking , eating bush meat,body contact","no crowding ,No bush meat ,No strangers are allowed limited movement of people",The government should provide food for the community people,
2195,2014-12-10,Tonkolili,Gbonkolenken,Makonkorie,Mayamba,,1.0,1.0,Youth leader,Medium,"washing of hands, No to burried the dead",When will Ebola ended,"Eating monkey,washing dead body,touching sick people.","no bush meat to be kill or eat ,Av body contact ,Ca 117",the government should have stop Ebola earlier,The obstacles observe the community capacity to carryout their action plans
2196,2014-12-10,Tonkolili,Gbonkolenken,Upper Masakoh,Tekolol,,1.0,1.0,Head Man,Very High,"They must include women in the burial teem,the burial teem must not drink alcohol before burial ","Can Ebola a which hunt,can Ebola be cure when is Ebola going to end","No bodie contact,no sicrit burial",house to house checking no secret burial no hunting no lodging of strangers, The government muss add the number of the burial teem they must not drink alchow before burial,
2197,2014-12-10,Tonkolili,Kafe Simiria,Makelfa,Inenaya,,1.0,1.0,Assistance youth leader,Very High,Any one who is sick should go for treatment at the treatment center,"In case there is poor road network and dalays  in respond from 117, what should we do","Touching the sick, Sharing sharp objects,  and buring the dead",strangers a not allowed any body that goes out of the community for a long time will not enter the community until ebola ends,,
2198,2014-12-10,Tonkolili,Kafe Simiria,Mayasso,Kamatha,,1.0,1.0,Headman,Medium,"A,bulance drivers should drive carefully when carrying suspected cases to traetment centers","Who brought ebola into Sierra Leone, W2hy doctors die of 5this sick ","Playing with sick people, Burial of the dead, Body  fluid",no strangers within the community no community burial regular hand washing no bush meat,"Why there is no exception in eating  bush meat, Why the  schools are yet opened",
2199,2014-12-10,Tonkolili,Kafe Simiria,Mabontor,Makomp,,1.0,1.0,Active youth,High,We appreciaciate the way the burial team buried our people but we want  the government to train members of this community to be part of the burial team instead of paying extra people,What is the important of collecting specimen from a person that is already dead,Hand  shaking and washing dead bodies,"no accommodation of strangers no hand shaking no public gathering ,Th sick should be refer to the hospital no eating of bush meat no secret burial",The radio teaching programme should be repeated at night because most of them don‰Ûªt have time to listen because of farming activities,The harvest season is a key challenge to by- laws implementation
2200,2014-12-10,Tonkolili,Kafe Simiria,Makontandae,Masedeh ,,1.0,1.0,,High,"The way the burial takes place the are not happy with the burial team, Ebola is a combination of diseases like typhoid and malaria",Why is it that people are refered to the hospital when there is no vaccine Is there any provision  for the families of those that have died of ebola,"Eating wild animals, public gathering, body contact with an infected person, washing dead bodies, visisiting burial homes and burial services","any house should provide veronica bucket and soap for regular hand washing ,No body is allowed to keep sick people at home",We should have ourown burial team,
2201,2014-12-10,Tonkolili,Kallansogoia,Lower,Balia,,1.0,1.0,Youth leader,High,Can we be able to defeat this virus by the end of December,How could we avoid getting ebola,"Washing dead bodies, burials and hand shaking","hiding the sick at home unknown to the chief be 10, 00, washing the dead be 150, 000, hand shaking be 50, 000",It is the best wayrestless development is doing by bringing the community onboard,
2202,2014-12-10,Tonkolili,Kallansogoia,Kemedugu,Gbongbonba,,1.0,1.0,Village Champion,Very High,We must all come together to fight the disease at once to get the country to it normal situation,Does govwrnment normally support communities with light and batteries,"Hand shaking, washing the dead bodies, keeping the sick  at home, secreat burial and accomodating strangers",bush meat should not be eaten strangers entering the community should be reported to the chief no hand shaking,Government is providing protective material for therefor they should also be considered,"Time management, clarical aspect of the plan"
2203,2014-12-10,Tonkolili,Kallansogoia,Kasocra,Kathobojjunction,,1.0,1.0,Chief,Medium,The chives to be supplied with plastic hand gloves ,Why doother people poison drinking water,"Body contact, eating bush meat",don shake hands no drinking of rain water with close watch,Always attend to meeting about ebola,
2204,2014-12-10,Tonkolili,Kallansogoia,Songonie,Sanikoroh,,1.0,1.0,,High,"We have kept all other siknesses aside because of ebola,",How do we notice ebola because thjere are other diseases before ebola,"Eating dead animals. Body contact,Tears. Hand shaking",hand shaking mounting of check points, Ebola is a deep key secreat in the government,
2205,2014-12-10,Tonkolili,Kholifa Mabang,Mabang,Makomeh 2,,1.0,1.0,women's Leader,High,The raise concern that government should provide enough equipment for protection.,Are you going to provide us with food and financial assistance ,Having sex with an infected person.By touching infected persin,no fight in our community,The government should stop paying  all health worker for stoping this virus,
2206,2014-12-10,Tonkolili,Kholifa Mabang,Marunia,Marunia,,1.0,1.0,Youth Lead,High,The ebola have deprived us in running our business. The ebola has stop our children from going to school.,Since the outbreak of ebola most of our children have become pregnant also ebola has cause all business to stand still,No body contact.Hand shaking. Eating of bush meat ,"no accommodation of stranger if any one is cut flaunting the rules will be fined 500, 000",We all want ebola to stop and let their children return back to school,
2207,2014-12-10,Tonkolili,Kholifa Mabang,Rokankarr,Masiaka,,1.0,1.0,Elder,Medium,We are suffering as a result of the ebola so we are praying day and night for the virus to go ,Did the government know the name of the virus,"Body contact. Animals like monkey, bats. Through sick or dead person body.mouth.nose.eyes.feet and vomit or saliver. Attendancing burial or Masive travelling.","all sick people should be reported to the headman or call 117, no stranger is allowed in the community as of now no public gathering",The community people are worried about their children's education and most of them are pregnant some has lost pase especially the BECE pupils,
2208,2014-12-10,Tonkolili,Kholifa Mabang,Robis,Worreh 1&2,,1.0,1.0,Worreh Head Man,High,Governmment should stop giving money to the health area,Did ebola have medicine. What is the benefit of survivors,Washing the dead. Playing with the sick. Attending funirals.shaking hands with an infected person,no stranger is allowed in our community checking of house to house for any stranger and sick people washing hands regularly come and check point at a :30p,It is veryimportant for the government to put most effort on this clear approach by enforcing the  community law ,they are living in a remote community and they have decieded to stay in their community untill ebola ebds.
2209,2014-12-10,Tonkolili,Kholifa Rowalla,Mayosr,Ma-Mannoh,,1.0,1.0,,Very High,The arrival of burial team is a concern,,"Hand shakijng, washing the dead, Visiting burial homes",the dress code of the burial team is described to be awful,Proper monitoring of laboratory results,Bias in implementing by laws
2210,2014-12-10,Tonkolili,Kholifa Rowalla,Lal-Lenken,Masokoray,,1.0,1.0,Youth leader,Medium,"Treatments given topregnant women, and under five children are very unsatisfactory",,"Accodating strangers, funirals and unnecessary movement of people",no hand shaking and strangers are allowed,Ebola patients are not respected in any way by doctors and  nurses,
2211,2014-12-10,Tonkolili,Kholifa Rowalla,Mamunta,Mathonkoh,,1.0,1.0,Headman,High,Government should provide drugs and vaccine for quarantine home,When will there be a drug or vaccine for the ebola virusdisease,"Care for the dead and the sick, and body fluids",restriction of movement and come at 10; 00p,Governmentshould build holding and treatment centers at district level,Time factor is a challange
2212,2014-12-10,Tonkolili,Kholifa Rowalla,Mayatha,Mayatha,,1.0,1.0,,High,Treatment centers and white paramedics should be equitablly distributed,Why is it that huge sums of money are given to politicians instead of doctors and nurses,"Care for the  sick and dead, body contact",accommodating strangers care for the dead and sick,"Accomodating strangers, care for the dead and sick",
2213,2014-12-10,Tonkolili,Kholifa Rowalla,Makump,Mayembarie,,1.0,1.0,,Very High,Taking patients to Khailahun is a concern for people in thiscommunity,Why is it thatthere is no cure for ebola virus disease,"Nohand shaking, No burial visits are allowed, strangers are not allowed, washing the dead is ataboo",keeping the sick at home accounting strangers and visiting burial homes is a crime,There should be ebola laboratories in all wards,
2214,2014-12-10,Tonkolili,Kunike,Petifu Line,Mabathor,,1.0,1.0,,Very High,Sierra leonean are lawless in the fight against Ebola,Can the blood of the survivors cure the Ebola patient,"through by hand shaking , eating bush meat,body contact",no strangers are allow no hunting of bush meat cafe from pm to am everyday,,
2215,2014-12-10,Tonkolili,Kunike,Mamasonko Sanka,Mafondo,,1.0,1.0,,Medium,,,"Wish of ded bodies,caring sick person",mounting of chick point sick people should report early,No burial of the ded,
2216,2014-12-10,Tonkolili,Kunike,Masingbi,Masheakuray,,1.0,1.0,,Very High,,How can Ebola be cure and  who will survival if you catch Ebola,"body contact,washing the dead,visiting quarantine homes","no crowding ,No bush meat ,No strangers are allowed limited movement of people",securing their water well for security purpose,
2217,2014-12-10,Tonkolili,Kunike,Kenewa,Maworoko,,1.0,1.0,Youth leader,Very High,people must obey the rules and     regulation that govern the spread of the virus,what is the role of the survivor after the treatment,Hand shaking.conducting burial ceremony,no public gathering no free movement,,The community capacity to carryout their action is encouraging
2218,2014-12-10,Tonkolili,Kunike Barina,Makong,Mabrafi,,1.0,1.0,Women leader,Low,asking government to try to settle the Ebola issue,what is the different between the virus and Ebola?,"Visit sick people,going to funeral",no strangers are allow avoid people compound,,
2219,2014-12-10,Tonkolili,Kunike Barina,Masaba,Makoni Gbonko I,,1.0,1.0,Elder,Medium,we want to end Ebola so our children can go back to school,what can we dio in case we have sick person dand health people delay because of distance?,"Hand Shaking, caring sick person,washing f dead body,",isolation of sick person no attendance of funeral activities,The people through the discusion agreed that they are ready to do all it takes to end Ebola,they lack resources
2220,2014-12-10,Tonkolili,Kunike Barina,Mamurie,Makonteh ,,1.0,1.0,,High,quarantine home should be properly secure,What to do with someone that has the sign and symptoms,"washing dead body,hand shaking,sexual inter cause","house to house checking mounting of checking ,No strangers are allowed",government need to do something about western area since they are  the hotspots now,
2221,2014-12-10,Tonkolili,Kunike Barina,Mathonkara,Malenke,,1.0,1.0,Youth leader,Medium,lock down in this part of the country is not important,What can we do to prevent ourselves from Ebola?,"Hand Shaking, caring sick person,washing f dead body,",sick person should not be kept in house no strangers are allowed,,
2222,2014-12-10,Tonkolili,Kunike Barina,Makalie,Robumbeh,,1.0,1.0,Youth leader,Very High,Respect should be given to their love ones,What to do with someone that has the sign and symptoms,"Touching of the dead,touching of infected person",,"If dead or an affected person has been spray, why is allowed the deseases to be hand over to the bereaved",
2223,2014-12-10,Tonkolili,Malal Mara,Kaimpkkolo,Madora,4 weeks or more,1.0,1.0,,High,Burial team should give respect to their dead once given them appropriate dress to their rest,When ebola will be end,washing dead bodies. Shaking hands with other people. Sharing sharp instrument with other people,no one should buried dead bodies no one should eat or bring bush meat in the community,By continue to put bye-lows in the community will also prevent spread of ebola in the community,it is difficult for the community to chose the village champion and action plan ownership
2224,2014-12-10,Tonkolili,Malal Mara,Malal,Makargbo,,1.0,1.0,Youth Lead,Medium,chlorine should be supplied to every households to kill the virus quickly.,Can drinking of chlorine prevent ebola when will ebola end,"Touching, caring for the sick,  and washing of dead person,eating bush meat","no stranger is allowed in the community for now ,Th washing of dead bodies ,Fa to report the sick person to the health centre",,
2225,2014-12-10,Tonkolili,Malal Mara,Makoba,Robina,,1.0,1.0,Youth Lead,High,Afer ebola what next for our school going children,,"Accommodating strangers, using property of ebola patient,Visiting burials and sexual intercouse.",no sexual intercourse with any woman that does not belong to you,,
2226,2014-12-10,Tonkolili,Malal Mara,Manewa,Rotonkor,,1.0,1.0,Youth Lead,High,when they take any seriously sick person to the hospital they will inject him/her poison and died ,what is ebola virus. Where ebola started from,by hand shaking. By buring dead bodies,no burial ceremonies sick should be reported to the health centre,Government should find another wat to get the actual medicine for ebola treatment.,
2227,2014-12-10,Tonkolili,Sambaia Bendugu,Sambaia,Balia 1,,1.0,1.0,Town Chief,Very High,They are about the availability of veronica buckets and soap for hand washing,"Is there any drug or vaccine for the ebola virus disease , Why is it that the treatment center is situated in Khailahun","Hand shaking, washing the dead, keeping the sick  at home, secreat burial and accomodating strangers",no hand shaking no strangers are allowed,," Lackof; Touch light and battery, food and ataya"
2228,2014-12-10,Tonkolili,Sambaia Bendugu,Dayie,Heremokono,,0.0,1.0,Chairman,High,The government should build holding and treatment centers in diistrict headquarters,Can ebola be transmitted through the exchange of money,Through body contact,"eating of bush meat is prohibited keeping of strangers without the notice of the chief is prohibited all sick people should report to the hospital failing to compile with this by laws is be 500, 000", Wewant the  medicalpersonnel to include females in the burial teams,
2229,2014-12-10,Tonkolili,Sambaia Bendugu,Borowa,Sunbuya,,1.0,1.0,Youth leader,High,We  want the buria lteam to allow us to pray for the dead before burial ,What is the government doing to end ebolaq,Bush meat and body contact,all cooking utensils should be stored indoors after use no sick people should be kept at home no secret burial no strangers are allowed,They  spoke of inadequate capital,Inadequate financial support is a challenge
2230,2014-12-10,Tonkolili,Sambaia Bendugu,Buyan,Yambaia,,1.0,1.0,,High,"The lack of freedom of movement, fall of economy, and the break in the school academic year","How would they receive help from mobilizers, especially  the  girld child",Body contact and the lodging of strangers,no strangers are allowed if any stranger is found the host william be 100000 and the stranger will return,Ebola must stop now  it has caused a lot of harm in this country,
2231,2014-12-10,Tonkolili,Tane,Makrubeh,Magbafth,,1.0,1.0,Youth leader,Medium,The government should provide treatment centers in every village.,Why the government pronounce that Ebola has no medicine?,"body contact,washing the dead,visiting quarantine homes",no strangers are allow no hunting of bush meat cafe from pm to am everyday,,
2232,2014-12-10,Tonkolili,Tane,Matotoka,Makeni Koray,,1.0,1.0,Youth leader,High,The burial team should burried their love ones with respect,Did the artesunates cure Ebola?,"body contact,washing the dead,visiting quarantine homes","no bush meat to be kill or eat ,Av body contact ,Ca 117",The opening of isolation center in Tane chiefdom,The action plan should be encouraging
2233,2014-12-10,Tonkolili,Tane,Lal Lenken ,Malakoh,,1.0,1.0,Youth leader,Medium,the way the burial team burried their people,Why the government do not build Ebola treatment center in Tonkolili ,"washing of dead body, over crowding,secret burila,visiting of strangers","no accommodation of strangers no secret burial ,Mo of check point",the government should have stop Ebola earlier,community  do have the required equipment to check sick people.
2234,2014-12-10,Tonkolili,Tane,Mapakie,Mamarr,,1.0,1.0,Head Man,High,Ebola is a killer diseases which kill many people in our country,How can Ebola be cure and  who will survival if you catch Ebola,"body contact,washing the dead,visiting quarantine homes",no crowding no stranger are allowed limited movement,cleaning the water well  and securing the the environment.,improper monitoring 
2235,2014-12-10,Tonkolili,Tane,Mangay Bana,Ro-Nullah,4 weeks or more,1.0,1.0,,Very High,all death in the community did mnot receive any Ebola result to testify the reason for their death,About the chlorine,"washing of dead body, body contact",any touching is prohibited no strangers is allow in the community,,
2236,2014-12-10,Tonkolili,Tane,Patifu Maboboh,Rofunkeh,,0.0,1.0,Head Man,Medium,The government should provide treatment centers in every village.,How is Ebola spreading," Eating of bush meat, washing of dead body,touching of dead body",any touching is prohibited no strangers is allow in the community,,People will regect these bye laws
2237,2014-12-10,Tonkolili,Yoni Yoni,Mile 91,Do Compound,,0.0,1.0,Teacher,Medium,let the government help we the community people,the government said  that Ebola has no medicine but why people survive,"Eating bush meat,touching the sick,burial dead bodies,hand shaking",sick people must visit the health centre no touching and washing of dead person,let the government include our community people to take part in the burial team,It is not easy for them to carry all the action plan they need to look after them
2238,2014-12-10,Tonkolili,Yoni Yoni,Mamaka,Masabay,,1.0,1.0,Head man,High,Food shoould be provided for them because of the locked down,Why there is no drugs for Ebola and yet people should go for treatment,"Touching sick people,burial of dead,hand shaking,Accomodating strangers","regular hand washing no accommodation of strangers no hand shaking ,Av touching sick people",members of the community should be trianed to join the burial team,"none at all,because they are willing to join in thee fight against Ebola"
2239,2014-12-10,Tonkolili,Yoni Yoni,Foindu,Matamba,,1.0,1.0,,High,we need the medicine that will cure the virus,what distance do we have to keep away from people suspected of having Ebola,"Washing dead body,Touching of an affected person",sick people must visit the health centre no touching and washing of dead person,it is said that early treatment lead to early survival,
2240,2014-12-10,Tonkolili,Yoni Yoni,Patifu,Matombar,,1.0,1.0,Head Man,Very High,Sierra Leone people need to come together as one to fight Ebola,Iwant to know if Ebola isa water born disease,Lorging of strangers,"no login of strangers ,Si person should report",,"Chick point,The man power,Lack of training"
2241,2014-12-10,Tonkolili,Yoni Yoni,Roruks,Mayarah,,1.0,1.0,Youth Leder,High,we as community membersare pray that let the Ebola virus have special medication,We as sierra leonean what will be our faith after Ebola,,no visit quarantine homes no visit of burial no secret burial,There should be many holding center,"No food during the process,no flash light,and the comittment from youth"
2242,2014-12-11,Bo,Badjia,Fallay,Bumpewo,,1.0,1.0,youth leader,High,the community people should have their own burial team,Is there any vaccine for ebola?,"by eating the bush meat, body contact",hand washing,The government should provide chlorine for rural communities,the expect us to buy topup or credit for the village champion
